id	code	country	Indicator	edits	gdpedits	population	editspopulation	citations	fsize	links
508	MOZ	mozambique	15630302813.9535	4653	3359188.2257	25833752	0.000180113210036235	510	3320356	8927
32	ARG	argentina	609888971036.196	7668	79536902.848	41446246	0.000185010724493601	990	5511252	15099
764	THA	thailand	387252164290.829	12541	30878890.383	67010502	0.000187149769449571	1742	10201818	25955
792	TUR	turkey	822135183159.996	14454	56879423.216	74932641	0.000192893241277856	2857	14049568	44033
104	MMR	burma		10410	0	53259018	0.000195459856206887	2410	9196976	20975
170	COL	colombia	378415326790.081	9488	39883571.542	48321405	0.000196351906572253	1023	7038812	20089
250	FRA	france	2806427978233.99	13555	207040057.41	65939866	0.000205566083497956	1730	10752330	34546
384	CIV	ivory coast	31062026533.1508	4187	7418683.1940	20316086	0.000206092846820987	262	2167518	5976
729	SDN	sudan	66565889416.8701	7974	8347866.7440	37964306	0.000210039398586662	748	5011562	13750
404	KEN	kenya	55243056200.6503	9404	5874421.1187	44353691	0.000212022940773971	1096	8286607	20012
860	UZB	uzbekistan	56795656324.5823	6714	8459287.5074	30243200	0.000222000317426727	740	4951129	14191
454	MWI	malawi	3705386789.60511	3706	999834.53578	16362567	0.00022649257906782	750	3050315	7024
728	SSD	south sudan	11804446136.8066	2636	4478166.2127	11296173	0.000233353366666746	971	4079530	9758
364	IRN	iran	368904351626.505	18536	19902047.455	77447168	0.000239337350592342	5882	20529075	53463
562	NER	niger	7407418427.65768	4338	1707565.33602	17831270	0.000243280484227988	711	3238542	8754
854	BFA	burkina faso	12884922231.0557	4134	3116817.1822	16934839	0.000244112152468648	259	1527119	4376
12	DZA	algeria	210183410526.104	10849	19373528.484	39208194	0.000276702364816905	721	6797727	19565
450	MDG	madagascar	10613494031.3832	6404	1657322.6158	22924851	0.00027934750808195	635	4426741	10294
324	GIN	guinea	6144131903.01383	3373	1821562.97154	11745189	0.000287181415301193	225	1499153	3969
