id	continent	average_edits	sum_edits	sum_population	edits_per_population
156	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
356	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
360	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
732	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
276	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
76	south_america	7748.25	92979.0	406487418.0	0.0002287377072025388
566	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
484	north_america	6456.086956521739	148490.0	249206342.0	0.0005958516095870465
231	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
180	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
818	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
586	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
834	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
50	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
800	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
643	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
704	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
410	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
608	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
380	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
392	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
508	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
32	south_america	7748.25	92979.0	406487418.0	0.0002287377072025388
764	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
792	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
104	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
170	south_america	7748.25	92979.0	406487418.0	0.0002287377072025388
250	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
384	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
729	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
404	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
860	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
454	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
728	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
364	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
562	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
854	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
12	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
450	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
324	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
862	south_america	7748.25	92979.0	406487418.0	0.0002287377072025388
408	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
646	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
604	south_america	7748.25	92979.0	406487418.0	0.0002287377072025388
108	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
24	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
466	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
887	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
320	north_america	6456.086956521739	148490.0	249206342.0	0.0005958516095870465
894	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
724	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
710	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
120	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
504	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
218	south_america	7748.25	92979.0	406487418.0	0.0002287377072025388
458	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
124	north_america	6456.086956521739	148490.0	249206342.0	0.0005958516095870465
768	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
4	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
804	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
204	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
682	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
368	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
616	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
760	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
642	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
686	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
398	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
148	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
214	north_america	6456.086956521739	148490.0	249206342.0	0.0005958516095870465
340	north_america	6456.086956521739	148490.0	249206342.0	0.0005958516095870465
600	south_america	7748.25	92979.0	406487418.0	0.0002287377072025388
116	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
288	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
716	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
826	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
36	oceania	4899.692307692308	63696.0	37172744.0	0.0017135135356163107
788	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
203	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
