id	code	country	GDP	citations	fsize	links
512	OMN	Oman	21633810317.4324	244	2740041	7050
586	PAK	Pakistan	83244801092.7096	4205	21477320	68229
591	PAN	Panama	12933200000	453	3567520	10326
604	PER	Peru	59034091562.2053	633	5381479	16059
608	PHL	Philippines	83908205719.0885	2188	15381963	47504
585	PLW	Palau	173898900	120	1516509	4406
598	PNG	Papua New Guinea	3536459111.2438	387	3195466	8519
616	POL	Poland	217514167875.179	2953	15472218	44481
620	PRT	Portugal	164964195259.594	647	4092352	13893
600	PRY	Paraguay	6588103836.34739	192	2667817	6873
634	QAT	Qatar	23533790530.5514	325	2200454	5911
642	ROU	Romania	59466017705.5346	789	5283644	15969
646	RWA	Rwanda	1845979351.35205	967	3336595	8388
682	SAU	Saudi Arabia	214572800000	1666	10453381	29624
729	SDN	Sudan	17646271378.9113	748	5011562	13750
686	SEN	Senegal	6858952716.48403	623	2955926	7496
702	SGP	Singapore	97002305536.1569	1270	7965260	19928
90	SLB	Solomon Islands	332736306.539249	286	2615725	7016
694	SLE	Sierra Leone	1371442565.69701	610	3195183	7907
222	SLV	El Salvador	15046700000	398	2716148	7133
674	SMR	San Marino	1122981525.35502	66	802513	1998
688	SRB	Serbia	21188704081.2428	1151	9300724	29834
740	SUR	Suriname	1271196078.43137	156	1635993	4679
705	SVN	Slovenia	29698471223.4945	587	3362613	9659
752	SWE	Sweden	331108912605.271	2004	10834574	30870
748	SWZ	Swaziland	1854032545.904	174	1305466	3510
690	SYC	Seychelles	705704816.042365	66	1450952	4500
148	TCD	Chad	2736666515.8294	446	2572952	6902
768	TGO	Togo	1673690389.7013	74	1478904	4415
764	THA	Thailand	142640079033.312	1742	10201818	25955
762	TJK	Tajikistan	1554125542.56223	569	3856874	11733
795	TKM	Turkmenistan	5977440582.80171	707	4104779	12388
776	TON	Tonga	208098551.915313	155	1499371	3416
780	TTO	Trinidad and Tobago	11235960527.5348	216	3222597	9394
788	TUN	Tunisia	27453084982.5378	1217	5287228	14404
792	TUR	Turkey	303005303081.914	2857	14049568	44033
798	TUV	Tuvalu	18230911.0375253	925	3622703	8914
834	TZA	Tanzania	11659129814.7433	556	4721413	11868
800	UGA	Uganda	6336696288.98214	668	3381652	9634
804	UKR	Ukraine	50132953288.203	3680	18180124	51204
858	URY	Uruguay	12045627411.0182	454	3979898	10642
840	USA	United States	11510700000000	15304	52182114	151469
860	UZB	Uzbekistan	10128112401.4248	740	4951129	14191
704	VNM	Vietnam	42717072777.5838	2330	11515107	29006
548	VUT	Vanuatu	314463144.04219	265	2451779	7239
882	WSM	Samoa	338836026.389264	209	1577359	4175
710	ZAF	South Africa	175256866088.999	3528	20480119	48536
894	ZMB	Zambia	4901869715.90457	402	2458163	5416
716	ZWE	Zimbabwe	5727591800	1994	7759641	18564
