Qatar_data.csv	325	2200454	5911
Republic of Ireland_data.csv	1615	6484724	16329
Republic of Macedonia_data.csv	1071	5021007	12910
Republic of the Congo_data.csv	141	1469208	3847
Romania_data.csv	789	5283644	15969
Russia_data.csv	3858	19559146	53313
Rwanda_data.csv	967	3336595	8388
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe_data.csv	33	719314	1795
Sahrawi Arab Democratic Republic_data.csv	1057	2973493	5521
Saint Kitts and Nevis_data.csv	59	1396862	3739
Saint Lucia_data.csv	150	1856218	4866
Saint Vincent and the Grenadines_data.csv	47	1275427	3160
Samoa_data.csv	209	1577359	4175
San Marino_data.csv	66	802513	1998
Saudi Arabia_data.csv	1666	10453381	29624
Senegal_data.csv	623	2955926	7496
Serbia_data.csv	1151	9300724	29834
Seychelles_data.csv	66	1450952	4500
Sierra Leone_data.csv	610	3195183	7907
Singapore_data.csv	1270	7965260	19928
Slovakia_data.csv	567	4087803	11688
Slovenia_data.csv	587	3362613	9659
Solomon Islands_data.csv	286	2615725	7016
Somalia_data.csv	2758	11573292	30219
Somaliland_data.csv	179	888039	2665
South Africa_data.csv	3528	20480119	48536
South Korea_data.csv	1484	6604974	14929
South Ossetia_data.csv	521	1684653	3556
South Sudan_data.csv	971	4079530	9758
Spain_data.csv	3334	16565176	45770
Sri Lanka_data.csv	1869	11872045	31454
State of Palestine_data.csv	6597	19750606	50179
Sudan_data.csv	748	5011562	13750
Suriname_data.csv	156	1635993	4679
Swaziland_data.csv	174	1305466	3510
Sweden_data.csv	2004	10834574	30870
Switzerland_data.csv	900	7055535	23274
Syria_data.csv	3049	14605831	40095
Taiwan_data.csv	1611	10284272	30803
Tajikistan_data.csv	569	3856874	11733
Tanzania_data.csv	556	4721413	11868
Thailand_data.csv	1742	10201818	25955
The Bahamas_data.csv	400	2513540	6910
The Gambia_data.csv	363	2260222	6453
Togo_data.csv	74	1478904	4415
Tonga_data.csv	155	1499371	3416
Transnistria_data.csv	337	1844553	4876
Trinidad and Tobago_data.csv	216	3222597	9394
Tunisia_data.csv	1217	5287228	14404
Turkey_data.csv	2857	14049568	44033
Turkmenistan_data.csv	707	4104779	12388
Tuvalu_data.csv	925	3622703	8914
Uganda_data.csv	668	3381652	9634
Ukraine_data.csv	3680	18180124	51204
United Arab Emirates_data.csv	556	3552603	8937
United Kingdom_data.csv	8628	35289924	107339
United States_data.csv	15304	52182114	151469
Uruguay_data.csv	454	3979898	10642
Uzbekistan_data.csv	740	4951129	14191
Vanuatu_data.csv	265	2451779	7239
Vatican City_data.csv	396	2376148	7326
Venezuela_data.csv	1002	5647358	14170
Vietnam_data.csv	2330	11515107	29006
Yemen_data.csv	925	5317491	14964
Zambia_data.csv	402	2458163	5416
Zimbabwe_data.csv	1994	7759641	18564
