date	filesize
2001-0	58120.0
2001-1	47971.0
2001-2	50202.8
2001-3	50485.833333333336
2001-4	52477.3
2001-5	52477.3
2001-6	52784.833333333336
2001-7	52339.529411764706
2001-8	52700.90909090909
2001-9	54173.44578313253
2001-10	55135.536082474224
2001-11	56229.75213675214
2002-0	56919.87804878049
2002-1	56368.03846153846
2002-2	56519.063725490196
2002-3	57260.44255319149
2002-4	57513.69260700389
2002-5	58357.38364779874
2002-6	59395.85444743936
2002-7	59876.854368932036
2002-8	60328.48510638298
2002-9	60482.10597302505
2002-10	61023.91139240506
2002-11	61285.75856164384
2003-0	61728.30206677265
2003-1	62522.2987012987
2003-2	62925.41160593792
2003-3	63256.470063694265
2003-4	63740.02705882353
2003-5	64151.121412803535
2003-6	64510.05544147844
2003-7	64969.32146294514
2003-8	65355.337591240874
2003-9	65765.6529209622
2003-10	66013.4775510204
2003-11	66229.46795366795
2004-0	66420.63736263737
2004-1	66648.67661346287
2004-2	66784.09348255431
2004-3	66976.02440550689
2004-4	67379.28648004765
2004-5	67547.03386004515
2004-6	67681.87252276379
2004-7	67924.5927439959
2004-8	68236.02392578125
2004-9	68299.33039033457
2004-10	68477.4740346205
2004-11	68704.80795262268
2005-0	69192.0202757502
2005-1	69793.95562475671
2005-2	70426.88376452944
2005-3	70870.54565061106
2005-4	71466.12023562024
2005-5	71877.13801130695
2005-6	72212.6262755102
2005-7	72678.11288343558
2005-8	73135.67031019203
2005-9	73470.96481271283
2005-10	73799.40584061135
2005-11	74116.05171961145
2006-0	74498.94646464646
2006-1	74864.44244779019
2006-2	75418.97936210131
2006-3	75916.00475113122
2006-4	76488.10732984293
2006-5	77107.0563410002
2006-6	77667.95551020408
2006-7	78238.21106719368
2006-8	78828.65709911978
2006-9	79399.71296296296
2006-10	79990.84922911438
2006-11	80721.45592070944
2007-0	81389.80050547599
2007-1	82014.44219464403
2007-2	82681.049635268
2007-3	83318.05543578688
2007-4	84039.66716596765
2007-5	84778.97199533255
2007-6	85457.12997873848
2007-7	86194.94963433145
2007-8	87037.09106830122
2007-9	87803.8622274757
2007-10	88604.39671331365
2007-11	89373.42853560681
2008-0	90117.86503368034
2008-1	90861.87870813397
2008-2	91588.54403176828
2008-3	92310.7722501141
2008-4	93121.8365320241
2008-5	93927.62550496779
2008-6	94773.19585204191
2008-7	95718.04035216435
2008-8	96622.86328125
2008-9	97537.41549011698
2008-10	98379.70106761566
2008-11	99247.65550703542
2009-0	100052.05851013224
2009-1	100797.48586885551
2009-2	101635.60850439883
2009-3	102394.7440187084
2009-4	103141.72298191443
2009-5	103981.86491882976
2009-6	104857.35121742846
2009-7	105637.30146193918
2009-8	106520.17307692308
2009-9	107418.81215514443
2009-10	108309.52198898555
2009-11	109063.897202852
2010-0	110026.65515114127
2010-1	110924.03901624412
2010-2	111871.11977882388
2010-3	112868.67203944948
2010-4	113845.55804347826
2010-5	114719.43759366302
2010-6	115656.3066694808
2010-7	116563.23047037602
2010-8	117509.32173378
2010-9	118280.65219147647
2010-10	119161.69082574901
2010-11	119905.64819908317
2011-0	120605.39494226179
2011-1	121422.66681517311
2011-2	122233.87613065327
2011-3	123007.65291201982
2011-4	123825.37105649304
2011-5	124588.55649495742
2011-6	125435.3396395321
2011-7	126235.71721698114
2011-8	126970.83561404531
2011-9	127828.13809962038
2011-10	128653.08444621242
2011-11	129504.69864553477
2012-0	130150.60540780635
2012-1	130979.58709252551
2012-2	131811.50648293822
2012-3	132657.24069904577
2012-4	133479.07533266183
2012-5	134317.7136644661
2012-6	135094.58536585365
2012-7	135907.04719975428
2012-8	136724.89601579506
2012-9	137492.58513621794
2012-10	138282.7193660228
2012-11	139046.9030124908
2013-0	139757.38544944092
2013-1	140436.88881449954
2013-2	141061.7272040778
2013-3	141724.97195389424
2013-4	142485.87383975988
2013-5	143288.66957674376
2013-6	144139.2205169994
2013-7	144905.5119479937
2013-8	145724.46322288353
2013-9	146377.9709928361
2013-10	147179.43255489718
2013-11	147944.51240132857
2014-0	148663.47029956474
2014-1	149379.36453888725
2014-2	150207.83243333752
2014-3	150941.30041851406
2014-4	151720.55467947928
2014-5	152474.07331079704
2014-6	153216.61811722914
2014-7	154031.6986866341
2014-8	154885.18431606115
2014-9	155627.32332218066
2014-10	156417.02658390912
2014-11	157148.25371574546
2015-0	157864.9100675261
2015-1	158555.91398340566
2015-2	159312.0535458047
2015-3	160050.45000561944
2015-4	160133.3329588015
2015-5	160133.3329588015
2015-6	160133.3329588015
2015-7	160133.3329588015
2015-8	160133.3329588015
2015-9	160133.3329588015
2015-10	160133.3329588015
2015-11	160133.3329588015
